category,concept,human,llama3.1-70b,llama3.1,llama3.2,mixtral,mistral,nemo,llava,llava-img,idefics2,idefics2-img
plants,abete,rosso,bianco,rosso,di legno,bianco,bianco,rosso,acacia,albero,abeto,rosso
vehicles,aereo,militare,da caccia,airbus,da passeggeri,da caccia,commerciale,jet,aeroplano,aereoplano,jet,elica
stationery,agenda,mensile,digitale,calendario,calendario,digitale,calendario digitale,cartacea,calendario,calendario,calendario,calendario
furnishings/fittings,appendiabiti,da parete,a muro,a sospensione,pannetto,gancio appendiabiti,cintura appendiabiti,a parete,scarpe,cinto,t-shirt,vestaglia
furniture,armadio,a muro,guardaroba,a muro,a muro,a due ante,a rotaia,a muro,armadietto,a due porte,per vestiti,cassa roba
stationery,astuccio,rigido,portaoggetti,borsa,guanti,per penne,tazza,per matite,fornace,cestino-astuccio,casserole,borse
hobbies,attrezzo,martello,cacciavite,martello,forbici,cacciavite,martello,martello,"bat, scusami. non ho informazioni specifiche sul significato del termine ""attrezzo"" che vuole essere elencato, quindi non posso elencarne i tipi di esso",da costruzione,"lavatrice, un usato per ripulire e riscldere indumenti",martello
vehicles,autobus,a due piani,filobus,filobus,urbano,a due piani,urbano,urbano,bus,bus,pullman,pullman
vehicles,automobile,elettrica,berlina,suv,auto,berlina,berlina,suv,sedan,berlina,auto,auto
housing buildings,bagno,pubblico,vasca da bagno,doccia,vasca,vasca da bagno,vasca da bagno,vasca da bagno,doccia,doccia,doccia,vasca
housing buildings,balcone,a incasso,a sbalzo,esterno,scale,francese,terrazzo,francese,esterno,verde,terrazza,esterno
plants,basilico,genovese,genovese,genovese,comune,genovese,comune,genere del basilico,genere botanico,pesto,italiano,pino
kitchenware,bicchiere,di vetro,calice,da vino,da vino,di plastica,da vino,calice,coppa,nero,di vetro,bottiglia
vehicles,bicicletta,elettrica,mountain bike,da corsa,mountain bike,mountain bike,montagna,mountain bike,anziana,classica,mtb,bicycle
body parts,bocca,carnosa,umana,labbra,lingua,umana,dell'uomo,umana,mascare,mascella,anale,denti
body parts,braccio,meccanico,meccanico,robotico,collo,arti superiori,umano,robotico,avambraccio,umano,destro,articolazione
plants,cactus,fico d'india,echinocactus,mammillaria,arecole,saguaro,barrel cactus,barbadensis,americanus,africano,agave americana,pianta da vasi
clothes,calza,a rete,autoreggente,sportiva,guanti,da neve,calze da ginnastica,di cotone,calzino,pantaloni,calzino,sock
housing buildings,camera,da letto,da letto,da letto,cucina,da letto,fotografica,da letto,fotocamera,da letto,digital camera,telefono
clothes,camicia,hawaiana,da notte,polo,maglia,abbottonata,da notte,oxford,bianca,da lavoro,pullover,maglia
vehicles,camion,furgone,autocarro,furgone,ambulanza,da costruzione,cisterna,da trasporto,cisterna,merce,dump truck,di cantiere
furnishings/fittings,candelabro,a tre bracci,applique,a stelo,decorativo,da tavolo,classico,da tavolo,scandinavo,candela,in legno,candela
animals,cane,labrador,levriero,pastore tedesco,pastore tedesco,pastore tedesco,labrador retriever,pastore tedesco,da pastore,golden retriever,bulldog,labrador
clothes,canottiera,bianca,da uomo,maglietta,canoa,a maniche lunghe,canottiere da regata,uomo,canotta,canoa,t-shirt,giubbino
body parts,capello,riccio,riccio,barba,barba,liscio,calvo,corto,cappello,berretto,racchiattoli,bocca
clothes,cappello,berretto,berretto,da baseball,panama,berretto,berrettino,a cilindro,fedora,fedora,cowboy,beretta
clothes,cappotto,lungo,trench,sportivo,giacca,invernale,winter,di lana,da neve,bomber,trench coat,maglia
foods,carne,di maiale,manzo,manzo,manzo,manzo,manzo,manzo,manzo,pollo,bovino,bovino
vehicles,carrozza,calesse,calesse,ferroviaria,carrozzina,ferroviaria,ferroviaria,ferroviaria,taxi,taxi,treno,stagecoach
hobbies,carte,da gioco,carta di credito,biglietto da visita,di credito,carta da parati,carta igienica,biglietto da visita,carta moneta,scramble board,bancomatiche,da gioco
furniture,cassettiera,di legno,portaoggetti,armadio,per tavolo,da camera da letto,da cucina,bassa,armadio,armadio,sony,cassetto armonio - cassette armonica
animals,cavallo,da corsa,haflinger,destriero,destriero,quarter horse,da corsa,purosangue,bene,clydesdale,stallone,domestico
hobbies,cd,audio,compact disc,singolo,cd-rom,audio,compact disc,audio,compact disc,"- in questo caso, elenca le entità del concetto è una singola entità: ""cd""",audio cd,audio
furnishings/fittings,centrotavola,di fiori,candeliere,in legno,stile moderno,floreali,tavolo rotondo,mazzo di fiori,puglia,lavastoviglie,banco,tavola
foods,cereale,grano,avena,riso,riso,mais,oatmeal,frumento,farro,grano,avena,biscotti
body parts,cervello,umano,umano,umano,cerebrale,umano,corteccia cerebrale,amigdala,cerebro,cerebrocortex,cerebro,cerebro
hobbies,chitarra,elettrica,classica,classica,acustica,classica,acustica,acustica,acustica,acustica,acustica,elettrica
plants,ciclamino,bianco,cyclamen alpinum,bianco,viola,di napoli,rosa,persiano,amicizia,campanotto,biciclo da muda,bianco
plants,ciliegio,in fiore,dolce,ciliegia,ciliegia,dolce,comune,acido,frassino,pioppo,verde,albero
foods,cioccolato,fondente,gianduja,bianco,barretta,fondente,bianco,fondente,gelato,cioccolata al barocco,barra di cioccolato,cuscino
stationery,colla,vinilica,a caldo,adesiva,filo da dozzazzo,vinilica,da carta,a caldo,da barba,ad inchiostro,adesivo,adesivo
body parts,collo,lungo,camicia,di cigno,a nastro,della camicia,di animale,camicia,colla,colonna,ampio,corto
housing buildings,colonna,dorica,sonora,sonora,verticale,di sostegno,vertebrale,sonora,di sostegno,di marmo,rifugiatario,pino
kitchenware,coltello,a serramanico,da cucina,da cucina,da cucina,da caccia,da cucina,da cucina,da cucina,da cucina,da taglio,da cucina
furniture,comodino,di legno,classico,singolo,cuscino,moderno,cabinet,con cassetti,scarpetta,armadio al frullo,abbigliamento,scaffale per paneteria
hobbies,computer,portatile,desktop,desktop,desktop,desktop,tablet,laptop,laptop,laptop,desktop,desktop
furniture,comò,a cassetti,cassettone,a muro,cassettone,classico,compartimento,a cassetti,acqua in una boccina,covo it,bello,vecchio
animals,coniglio,nano,oryctolagus,europeo,cinghiale,nano,selvatico,domestico,selvatico,selvatico,americano,rabbit
furnishings/fittings,cornice,di legno,per quadri,da quadro,per finestre,per foto,pittorica,per quadri,anello,di piattaforma,muro,modanatura
furniture,credenza,di legno,mobile,tv,banca,da cucina,armoire,classica,buffet,armadio,cassa,scrivania
hobbies,cruciverba,a schema libero,tematico,acrostico,crossword,standard,puzzola,diario,pentagramma,labirinto,riddle,scacchiera
kitchenware,cucchiaio,cucchiaino,da minestra,da dessert,da cioccolato,da tavola,da tavola,da tavola,piatto,piatti,da bocca,tavola
housing buildings,cucina,italiana,professionale,in muratura,pentola,americana,moderna,piano cottura,fornace,tostapane,aria,bocca da fuoco
body parts,cuore,anatomico,umano,umano,cardia,umano,umano,atrio sinistro,umano,corona,corda,caldaia
furnishings/fittings,cuscino,in memory foam,per il collo,di supporto,morbido,da seduta,da letto,da viaggio,rigido,sacco,a poggiolo,da letto
animals,delfino,comune,steno,comune,dal collo lungo,comune,comune,comune,dolphin,comune,delphinus delarrae,caldo d'acqua
furniture,divano,letto,letto,letto,soffa,letto,reclinabile,a due posti,sofà,soffà,lombardico,letto
plants,edera,rampicante,comune,comune,arbusto,comune,comune,comune,americana,rossa,acaciosmuntana,acacia
animals,elefante,africano,africano,africano,savana,africano,africano,africano,africano,africano,african elephant,africano
vehicles,elicottero,militare,da combattimento,militare,helicopter,da turismo,da trasporto,da trasporto,nero,militare,bell,hélicoptère
stationery,evidenziatore,giallo,pastello,a sfera,pennarelli,a penna,testuale,a sfera,testimonianza,termometro,di,"raglatoia, di solito in lega alluminio o bronzo, scritte in nero e/o rosso"
clothes,felpa,con cappuccio,cappotto,maglione,cardigan,con cappuccio,sporco,con cappuccio,camicia,abito di lavoro,pollo,'bordo'
plants,ficus,benjamin,aurea,fico d'india,benjamina,benjamina,"fico common, o fico bianco",benjamina,figulite,benjamina,benjamina,elastica
housing buildings,finestra,a una anta,a ghigliottina,scorrevole,a barcolle,a battente,aperta,a battente,aperta,aperta,classica,porta di vetro
furnishings/fittings,fioriera,in terracotta,vaso,vasca,vaso,da balcone,vaso fiori,vasi da fiori,banco di giro di fiori,vase,pianta,fiori
stationery,foglio,a4,di carta,di carta,di carta,di carta,carta da scrittura,di carta,carta,carta,carta,carta
kitchenware,forbice,con punta arrotondata,forbici chirurgiche,forbici da unghie,a mano,da giardinaggio,da taglio,da cucina,da barba,fisietto di denti,frusta,tagliabuste
kitchenware,forchetta,da dolce,da dessert,da pesce,fork,da tavola,da tavola,da insalata,da taglio,fork,spade,fork
foods,formaggio,parmigiano,asiago,mozzarella,parmigiano,cheddar,mozzarella,mozzarella,mozzarella,cheddar,brie,gorgonzola
furnishings/fittings,fotografia,in bianco e nero,ritratto,polaroid,aeree,ritratto,digitale,aerea,fotocamera,fotocamera,camera,ritratto
foods,frutta,banana,mela,mele,arancia,mela,arancia,mela,mela,mela,mela,mela
vehicles,furgone,camperizzato,minivan,furgoncino,autobus,da lavoro,pieno,da lavoro,fiat panda,van,volkswagen,camionette
animals,gallo,cedrone,cedrone,gallina,pavone,domestico,selvatico,pollo,il gallo,gallina,burlotto,gallina
body parts,gamba,del tavolo,artificiale,ginocchio,di tavolo,zampa di animale,destra,gambe umane,d'acqua,calcio,gambo antero sinistro,femorale
animals,gatto,siamese,maine coon,domestico,domestico,abyssinian,british shorthair,siamese,tigre,domestico,siamese,felino
plants,geranio,rosso,a fioritura continua,rosso,anemone,zonale,comune,comune,pelargonium odorevol,geraniouм,rosso,fiorino
clothes,giacca,a vento,a vento,da lavoro,pantaloni,blazer,impermeabile,a vento,denim,t-shirt,jacket,blazer
clothes,gilet,doppiopetto,cardigan,di sicurezza,t-shirt,salvagente,militare,senza maniche,di lana,nero,di corsa,smock
hobbies,gioco da tavola,monopoly,monopoli,monopoli,scacchi,monopoly,scacchi,monopoli,scacchiere,scrabble,backgammon,scacchiera
hobbies,giornale,quotidiano,corriere della sera,corriere,quotidiano,quotidiano,quotidiano,quotidiano,gazzetta del mezzogiorno,corriere della sera,the new york times,quotidiano
animals,giraffa,africana,masai,rossa,maschio,reticolata,comune,reticulata,comune,illustrata,zebra,altro
plants,girasole,giallo,annuo,di acqua,solare,comune,giallo,comune,giraglie,gigante,iris,fiore
clothes,giubotto,bomber,giubbotto antiproiettile,giubbotto da pesca,maglione,giubbotto di pelle,giubbotto da neve,bomber,giubbatino,giubbotto classico,da moto,classico
